BS SIZE,d (mm),s (mm),d (± mm),s (± mm)
312,15.24,5.33,0.13,0.13
313,16.81,5.33,0.13,0.13
314,18.42,5.33,0.13,0.13
315,19.99,5.33,0.15,0.13
316,21.59,5.33,0.15,0.13
317,23.16,5.33,0.15,0.13
318,24.77,5.33,0.15,0.13
319,26.34,5.33,0.15,0.13
320,27.94,5.33,0.15,0.13
321,29.51,5.33,0.15,0.13
322,31.12,5.33,0.15,0.13
323,32.69,5.33,0.15,0.13
324,34.29,5.33,0.15,0.13
325,37.47,5.33,0.25,0.13
326,40.65,5.33,0.25,0.13
327,43.82,5.33,0.25,0.13
328,47,5.33,0.25,0.13
329,50.16,5.33,0.25,0.13
330,53.34,5.33,0.25,0.13
331,56.52,5.33,0.25,0.13
332,59.7,5.33,0.25,0.13
333,62.87,5.33,0.25,0.13
334,66.04,5.33,0.25,0.13
335,69.22,5.33,0.38,0.13
336,72.4,5.33,0.38,0.13
337,75.57,5.33,0.38,0.13
338,78.74,5.33,0.38,0.13
339,81.92,5.33,0.38,0.13
340,85.1,5.33,0.38,0.13
341,88.27,5.33,0.38,0.13
342,91.44,5.33,0.38,0.13
343,94.62,5.33,0.38,0.13
344,97.8,5.33,0.38,0.13
345,100.97,5.33,0.38,0.13
346,104.14,5.33,0.38,0.13
347,107.32,5.33,0.38,0.13
348,110.5,5.33,0.38,0.13
349,113.67,5.33,0.38,0.13
350,116.84,5.33,0.38,0.13
351,120.02,5.33,0.38,0.13
352,123.2,5.33,0.38,0.13
353,126.37,5.33,0.38,0.13
354,129.54,5.33,0.58,0.13
355,132.72,5.33,0.58,0.13
356,135.9,5.33,0.58,0.13
357,139.07,5.33,0.58,0.13
358,142.24,5.33,0.58,0.13
359,145.42,5.33,0.58,0.13
360,148.6,5.33,0.58,0.13
361,151.77,5.33,0.58,0.13
362,158.12,5.33,0.58,0.13
363,164.47,5.33,0.58,0.13
364,170.82,5.33,0.58,0.13
365,177.17,5.33,0.58,0.13
366,183.52,5.33,0.76,0.13
367,189.87,5.33,0.76,0.13
368,196.22,5.33,0.76,0.13
369,202.57,5.33,0.76,0.13
370,208.92,5.33,0.76,0.13
371,215.27,5.33,0.76,0.13
372,221.62,5.33,0.76,0.13
373,227.97,5.33,0.76,0.13
374,234.32,5.33,0.76,0.13
375,240.67,5.33,0.76,0.13
376,247.02,5.33,0.76,0.13
377,253.37,5.33,0.76,0.13
378,266.07,5.33,0.76,0.13
379,278.77,5.33,0.76,0.13
380,291.47,5.33,0.76,0.13
381,304.17,5.33,0.76,0.13
382,329.57,5.33,0.76,0.13
383,354.97,5.33,0.76,0.13
384,380.37,5.33,0.76,0.13
385,405.26,5.33,1.14,0.13
386,430.66,5.33,1.14,0.13
387,456.06,5.33,1.14,0.13
388,481.46,5.33,1.14,0.13
389,506.86,5.33,1.14,0.13
390,532.26,5.33,1.14,0.13
391,557.66,5.33,1.14,0.13
392,582.68,5.33,1.52,0.13
393,608.08,5.33,1.52,0.13
394,633.48,5.33,1.52,0.13
395,658.88,5.33,1.52,0.13
425,113.67,6.99,0.38,0.15
426,116.84,6.99,0.38,0.15
427,120.02,6.99,0.38,0.15
428,123.2,6.99,0.38,0.15
429,126.37,6.99,0.38,0.15
430,129.54,6.99,0.58,0.15
431,132.72,6.99,0.58,0.15
432,135.9,6.99,0.58,0.15
433,139.07,6.99,0.58,0.15
434,142.24,6.99,0.58,0.15
435,145.42,6.99,0.58,0.15
436,148.6,6.99,0.58,0.15
437,151.77,6.99,0.58,0.15
438,158.12,6.99,0.58,0.15
439,164.47,6.99,0.58,0.15
440,170.82,6.99,0.58,0.15
441,177.17,6.99,0.58,0.15
442,183.52,6.99,0.76,0.15
443,189.87,6.99,0.76,0.15
444,196.22,6.99,0.76,0.15
445,202.57,6.99,0.76,0.15
446,215.27,6.99,0.76,0.15
447,227.97,6.99,0.76,0.15
448,240.67,6.99,0.76,0.15
449,253.57,6.99,0.76,0.15
450,266.07,6.99,0.76,0.15
451,278.77,6.99,0.76,0.15
452,291.47,6.99,0.76,0.15
453,304.17,6.99,0.76,0.15
454,316.87,6.99,0.76,0.15
455,329.57,6.99,0.76,0.15
456,342.27,6.99,0.76,0.15
457,354.97,6.99,0.76,0.15
458,367.67,6.99,0.76,0.15
459,380.37,6.99,0.76,0.15
460,393.07,6.99,0.76,0.15
461,405.26,6.99,1.14,0.15
462,417.96,6.99,1.14,0.15
463,430.66,6.99,1.14,0.15
464,443.36,6.99,1.14,0.15
465,456.06,6.99,1.14,0.15
466,468.76,6.99,1.14,0.15
467,481.46,6.99,1.14,0.15
468,494.16,6.99,1.14,0.15
469,506.86,6.99,1.14,0.15
470,532.26,6.99,1.14,0.15
471,557.66,6.99,1.14,0.15
472,582.68,6.99,1.52,0.15
473,608.08,6.99,1.52,0.15
474,633.48,6.99,1.52,0.15
475,658.88,6.99,1.52,0.15
517,36.27,1.78,0.38,0.08
519,39.45,1.78,0.38,0.08
532,79,1.78,0.51,0.08
534,85.34,1.78,0.51,0.08
536,91.7,1.78,0.51,0.08
538,98.05,1.78,0.51,0.08
540,104.4,1.78,0.51,0.08
542,110.74,1.78,0.51,0.08
544,117.1,1.78,0.51,0.08
546,123.44,1.78,0.51,0.08
548,129.4,1.78,0.71,0.08
550,135.76,1.78,0.71,0.08
551,138.94,1.78,0.71,0.08
552,142.11,1.78,0.71,0.08
553,145.29,1.78,0.71,0.08
554,148.46,1.78,0.71,0.08
555,151.64,1.78,0.71,0.08
556,154.81,1.78,0.71,0.08
557,158,1.78,0.71,0.08
558,161.16,1.78,0.71,0.08
559,164.34,1.78,0.71,0.08
560,167.51,1.78,0.71,0.08
561,170.69,1.78,0.71,0.08
562,173.87,1.78,0.71,0.08
606,1.78,1.02,0.13,0.08
607,2.54,1.02,0.13,0.08
610,6.75,1.78,0.13,0.08
611,8.73,1.78,0.13,0.08
613,9.92,2.62,0.13,0.08
614,11.91,2.62,0.13,0.08
615,13.1,2.62,0.13,0.08
616,15.08,2.62,0.13,0.08
617,17.86,2.62,0.13,0.08
618,25.8,3.53,0.15,0.1
619,74.63,5.33,0.38,0.13
620,79.77,5.33,0.38,0.13
621,89.69,5.33,0.38,0.13
622,100,5.33,0.38,0.13
623,109.54,5.33,0.38,0.13
624,114.7,6.99,0.38,0.15
625,124.6,6.99,0.38,0.15
626,134.5,6.99,0.58,0.15
627,159.5,6.99,0.58,0.15
628,166.7,6.99,0.58,0.15
640,74.3,2.62,0.38,0.08
641,77.5,2.62,0.38,0.08
642,80.6,2.62,0.38,0.08
643,83.8,2.62,0.38,0.08
644,155,5.33,0.58,0.13
645,161.3,5.33,0.58,0.13
646,167.7,5.33,0.58,0.13
647,174,5.33,0.58,0.13
648,310.5,6.99,0.76,0.15
649,323.2,6.99,0.76,0.15
650,335.9,6.99,0.76,0.15
674,208.92,6.99,0.76,0.15
676,221.62,6.99,0.76,0.15
678,234.32,6.99,0.76,0.15
680,247,6.99,0.76,0.15
682,259.7,6.99,0.76,0.15
684,272.4,6.99,0.76,0.15
686,285.1,6.99,0.76,0.15
688,297.8,6.99,0.76,0.15
801,3.17,1.78,0.13,0.08
802,4.76,1.78,0.13,0.08
803,6.35,1.78,0.13,0.08
804,7.94,1.78,0.13,0.08
806,11.11,1.78,0.13,0.08
807,12.7,2.62,0.13,0.08
809,15.88,2.62,0.13,0.08
810,17.46,2.62,0.13,0.08
812,20.64,2.62,0.15,0.08
813,22.23,2.62,0.15,0.08
814,23.81,2.62,0.15,0.08
824,39.7,3.53,0.25,0.1
825,41.28,3.53,0.25,0.1
826,42.86,3.53,0.25,0.1
827,44.45,3.53,0.25,0.1
828,46.04,3.53,0.25,0.1
829,47.62,3.53,0.25,0.1
830,49.2,3.53,0.25,0.1
831,50.8,3.53,0.25,0.1
832,52.4,3.53,0.25,0.1
833,53.97,3.53,0.25,0.1
834,55.56,3.53,0.25,0.1
835,57.15,3.53,0.25,0.1
836,58.74,3.53,0.25,0.1
837,60.32,3.53,0.25,0.1
838,61.9,3.53,0.25,0.1
839,63.5,3.53,0.25,0.1
840,65.1,3.53,0.25,0.1
841,66.67,3.53,0.38,0.1
842,68.26,3.53,0.38,0.1
843,69.85,3.53,0.38,0.1
844,71.44,3.53,0.38,0.1
845,73.02,3.53,0.38,0.1
846,74.6,3.53,0.38,0.1
860,117.48,5.33,0.38,0.13
861,120.65,5.33,0.38,0.13
862,123.83,5.33,0.38,0.13
863,127,5.33,0.58,0.13
864,130.18,5.33,0.58,0.13
865,133.35,5.33,0.58,0.13
866,136.53,5.33,0.58,0.13
867,139.7,5.33,0.58,0.13
868,142.88,5.33,0.58,0.13
869,146.05,5.33,0.58,0.13
870,149.23,5.33,0.58,0.13
872,155.6,6.99,0.58,0.15
874,161.9,6.99,0.58,0.15
876,168.3,6.99,0.58,0.15
878,174.6,6.99,0.58,0.15
880,181,6.99,0.76,0.15
882,187.3,6.99,0.76,0.15
884,193.7,6.99,0.76,0.15
886,200,6.99,0.76,0.15
4x0.8,4.00,0.80,0.10,0.08
